seller_id,schain_seller_domains,schain_node_names,sampled_publisher_ids,sampled_publisher_names,schain_node_positions,row_count,source_media_guard_rows,total_requests,invalid_traffic_count,sophisticated_ivt_count,general_ivt_count,valid_traffic_count,max_row_ivt_pct,unique_schain_count,sample_schains,weighted_ivt_pct,weighted_sophisticated_ivt_pct,weighted_general_ivt_pct,weighted_valid_traffic_pct,seller_names_found,seller_domains_found,source_names_found_in,sellers_json_urls_found_in,blacklist_reason,media_guard_seller_names,upstream_domains
310818047,yandex.com,,34109,Displayio,1,1,1,441600,7100,800,6300,434500,0.016078,1,"1.0,1!yandex.com,310818047,1,,,!display.io,156748,1,,,!dauup.com,34109,1,,,",0.016077898550724636,0.0018115942028985507,0.014266304347826086,0.9839221014492754,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Displayio,yandex.com
260832,algorix.co,,34106,AlgoriX,1,1,1,200300,3200,2900,300,197100,0.015976,1,"1.0,1!algorix.co,260832,1,,,!dauup.com,34106,1,,,",0.01597603594608088,0.014478282576135796,0.0014977533699450823,0.9840239640539191,LoveColoringGame,dot.lovecoloringgame.cc,Do global (DAPP) - algorix | Algorix,https://www.algorix.co/sellers.json | https://algorix.co/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",AlgoriX,algorix.co
35606,pangleglobal.com,,34109,Displayio,1,1,1,2087000,33300,31100,2200,2053700,0.015956,1,"1.0,1!pangleglobal.com,35606,1,,,!display.io,236374,1,,,!dauup.com,34109,1,,,",0.01595591758505031,0.014901772879731672,0.0010541447053186391,0.9840440824149497,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Displayio,pangleglobal.com
clmou6v730034w10i0exstxd0,gadsme.com,,34163 | 34127,E-planning | Tredio,1,3,3,1040600,16600,15000,1600,1024000,0.024554,3,"1.0,1!gadsme.com,clmou6v730034w10i0exstxd0,1,,,!e-planning.net,e2f550b2d33a665a,1,,,!dauup.com,34163,1,,, | 1.0,1!gadsme.com,clmou6v730034w10i0exstxd0,1,,,!thebrave.io,1234688,1,,,!e-planning.net,af5a107262468954,1,,,!dauup.com,34163,1,,, | 1.0,1!gadsme.com,clmou6v730034w10i0exstxd0,1,,,!admanmedia.com,2234,1,,,!tredio.io,357a6fdf7642bf815a88822c447d9dc431894,1,,,!dauup.com,34127,1,,,",0.015952335191235824,0.014414760714972132,0.001537574476263694,0.9840476648087642,Rocket Studio,rocketstudio.game,Gadsme,https://www.gadsme.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",E-planning | Tredio,gadsme.com
1014192,unity.com,,PA216 | 34109,Displayio,1,2,2,539600,8600,7300,1300,531000,0.017011,2,"1.0,1!unity.com,1014192,1,,,!voisetech.com,1066,1,,,!dauup.com,PA216,1,,, | 1.0,1!unity.com,1014192,1,,,!bidease.com,bidease_seller_20,1,,,!display.io,224469,1,,,!dauup.com,34109,1,,,",0.015937731653076354,0.013528539659006671,0.0024091919940696814,0.9840622683469237,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Displayio,unity.com
428,bidmachine.io,,34163,E-planning,1,1,1,132100,2100,2100,0,130000,0.015897,1,"1.0,1!bidmachine.io,428,1,,,!e-planning.net,864690bcd16cd011,1,,,!dauup.com,34163,1,,,",0.015897047691143074,0.015897047691143074,0.0,0.9841029523088569,Nhanlucnganhluat | ChenSX,quizjoythinkers.com,Germane Media (SwiftTV) | Bigo,https://thegermanemedia.com/sellers.json | https://bigo.sg/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",E-planning,bidmachine.io
51p4ct8LvuLZ,bidease.com,,34219,,1,1,1,138500,2200,1500,700,136300,0.015884,1,"1.0,1!bidease.com,51p4ct8LvuLZ,1,,,!dauup.com,34219,1,,,",0.01588447653429603,0.010830324909747292,0.005054151624548736,0.984115523465704,HUNGRY TECHNOLOGY PTE. LTD.,hungrystudio.com,Bidease,https://www.bidease.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",,bidease.com
3616012,unity.com,,PA216 | 34109,Displayio,1,2,2,1096600,17400,16300,1100,1079200,0.016782,2,"1.0,1!unity.com,3616012,1,,,!voisetech.com,1066,1,,,!dauup.com,PA216,1,,, | 1.0,1!unity.com,3616012,1,,,!bidease.com,bidease_seller_20,1,,,!display.io,224469,1,,,!dauup.com,34109,1,,,",0.01586722597118366,0.014864125478752507,0.0010031004924311508,0.9841327740288164,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Displayio,unity.com
b8b65f2ebdaa4c27bc215b4905639369,inmobi.com,,34103,InMobi,1,1,1,201800,3200,1800,1400,198600,0.015857,1,"1.0,1!inmobi.com,b8b65f2ebdaa4c27bc215b4905639369,1,,,!dauup.com,34103,1,,,",0.015857284440039643,0.008919722497522299,0.006937561942517344,0.9841427155599604,App Lock LLC,tryapplock.com,Inmobi,https://www.inmobi.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",InMobi,inmobi.com
10185,iion.io,,34218,Iion,1,1,1,1734600,27500,27000,500,1707100,0.015854,1,"1.0,1!iion.io,10185,1,,,!dauup.com,34218,1,,,",0.015853799146777356,0.015565548253199585,0.0002882508935777701,0.9841462008532227,Bravestars Games | Option Game,bravestars.com | sloyhaze.asia,Iion | Bigo,https://pubs.iion.io/sellers.json | https://bigo.sg/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Iion,iion.io
