sampled_publisher_id,sampled_publisher_name,sample_schain,total_requests,invalid_traffic_count,ivt_pct,sophisticated_ivt_count,sophisticated_ivt_pct,general_ivt_count,general_ivt_pct,valid_traffic_count,valid_traffic_pct,media_guard_row_number,schain_node_position,schain_asi_domain,seller_id,schain_hop_complete,schain_request_id,schain_node_name,schain_node_domain,schain_seller_key
34208,VGI,"1.0,1!lkqd.net,1100058021,1,,,!dauup.com,34208,1,,,",5269000,4046100,0.767907,4043800,0.76747,2300,0.0004,1222900,0.232,278,1,lkqd.net,1100058021,1,,,,lkqd.net|1100058021
34208,VGI,"1.0,1!lkqd.net,1100058021,1,,,!dauup.com,34208,1,,,",5269000,4046100,0.767907,4043800,0.76747,2300,0.0004,1222900,0.232,278,2,dauup.com,34208,1,,,,dauup.com|34208
34103,InMobi,"1.0,1!inmobi.com,2490c54a3cfd482eaf71bd470b070e16,1,,,!dauup.com,34103,1,,,",5265800,23800,0.00452,20700,0.003931,3100,0.0005,5242000,0.9954,279,1,inmobi.com,2490c54a3cfd482eaf71bd470b070e16,1,,,,inmobi.com|2490c54a3cfd482eaf71bd470b070e16
34103,InMobi,"1.0,1!inmobi.com,2490c54a3cfd482eaf71bd470b070e16,1,,,!dauup.com,34103,1,,,",5265800,23800,0.00452,20700,0.003931,3100,0.0005,5242000,0.9954,279,2,dauup.com,34103,1,,,,dauup.com|34103
34105,Digital Turbine,"1.0,1!fyber.com,210475,1,,,!dauup.com,34105,1,,,",5259400,91500,0.017397,74600,0.014184,16900,0.0032,5167900,0.9826,280,1,fyber.com,210475,1,,,,fyber.com|210475
34105,Digital Turbine,"1.0,1!fyber.com,210475,1,,,!dauup.com,34105,1,,,",5259400,91500,0.017397,74600,0.014184,16900,0.0032,5167900,0.9826,280,2,dauup.com,34105,1,,,,dauup.com|34105
34199,Mindtos,"1.0,1!bigo.sg,23174555,1,,,!mindtos.com,mt0b219ff842ee3772,1,,,!dauup.com,34199,1,,,",5253200,380600,0.072451,374300,0.071252,6300,0.0011,4872600,0.9275,281,1,bigo.sg,23174555,1,,,,bigo.sg|23174555
34199,Mindtos,"1.0,1!bigo.sg,23174555,1,,,!mindtos.com,mt0b219ff842ee3772,1,,,!dauup.com,34199,1,,,",5253200,380600,0.072451,374300,0.071252,6300,0.0011,4872600,0.9275,281,2,mindtos.com,mt0b219ff842ee3772,1,,,,mindtos.com|mt0b219ff842ee3772
34199,Mindtos,"1.0,1!bigo.sg,23174555,1,,,!mindtos.com,mt0b219ff842ee3772,1,,,!dauup.com,34199,1,,,",5253200,380600,0.072451,374300,0.071252,6300,0.0011,4872600,0.9275,281,3,dauup.com,34199,1,,,,dauup.com|34199
34167,Lacuna,"1.0,1!bigo.sg,1114754,1,,,!ushareit.com,LCb79f2278ebd61d50,1,,,!dauup.com,34167,1,,,",5233400,71600,0.013681,68800,0.013146,2800,0.0005,5161800,0.9863,282,1,bigo.sg,1114754,1,,,,bigo.sg|1114754
